full_name,biobank_samples,class
Cryptocephalus pusillus,2,Insecta
Cryptolestes duplicatus,1,Insecta
Cryptophagus acutangulus,1,Insecta
Cryptoprocta ferox -,7,Mammalia
Cryptops anomalans,3,Chilopoda
Cryptops parisi,1,Chilopoda
Cteniopus sulphureus,5,Insecta
Ctenomys flamarioni,10,Mammalia
Ctenophora pectinicornis,1,Insecta
Cuculus canorus -,9,Aves
Culicoides grisescens,2,Insecta
Culicoides impunctatus,1,Insecta
Cuon alpinus -,15,Mammalia
Cuon alpinus alpinus,1,Mammalia
Curruca communis -,1,Aves
Cyanea capillata,1,Scyphozoa
Cyanistes caeruleus -,6,Aves
Cyanochen cyanopterus -,2,Aves
Cyanopterus cyanopteron -,1,Aves
Cybocephalus,1,Insecta
Cybocephalus nipponicus,1,Insecta
Cybosia mesomella,1,Insecta
Cyclophora punctaria,1,Insecta
Cyclosa conica,1,Arachnida
Cycloteuthis sp.,4,Cephalopoda
Cyclothone sp.,1,Actinopterygii
Cyclura cornuta -,1,Reptilia
Cydia amplana,1,Insecta
Cydia nigricana,1,Insecta
Cydia splendana,1,Insecta
Cygnus buccinator -,1,Aves
Cygnus cygnus,70,Aves
Cygnus cygnus -,5,Aves
Cygnus melanocoryphus -,1,Aves
Cygnus melanocoryphys -,1,Aves
Cygnus olor -,2,Aves
Cylindroiulus,4,Diplopoda
Cylindroiulus britannicus,5,Diplopoda
Cylindroiulus caeruleocinctus,5,Diplopoda
Cylindroiulus parisiorum,3,Diplopoda
Cylindroiulus punctatus,11,Diplopoda
Cylindroiulus vulnerarius,4,Diplopoda
Cylloceria caligata,1,Insecta
Cynictis penicillata -,1,Mammalia
Cynocephalus volans,1,Mammalia
Cynomys ludovicianus -,3,Mammalia
Cynomys sp -,2,Mammalia
Daboia russelii,10,Reptilia
Dactylopsila trivirgata -,10,Mammalia
Dama mesopotamica -,7,Mammalia
Damaliscus pygargus phillipsi,4,Mammalia
Danio rerio,8,Actinopterygii
Dascillus cervinus,2,Insecta
Dasineura plicatrix,3,Insecta
Dasybranchus caducus,3,Polychaeta
Dasyprocta - -,2,Mammalia
Dasyprocta azarae -,4,Mammalia
Dasyprocta leporina -,2,Mammalia
Dasyprocta leporinus -,1,Mammalia
Dasyprocta leporinus aguti,1,Mammalia
Dasyprocta punctata -,9,Mammalia
